2112,NSW,CHATSWOOD,CALTEX WOOLWORTHS,572 PACIFIC HWY,2067,02 94131238,1,0,0,1,0,0,0,1,1,,1,,0,1,1,No,TRUE,0,1,151.179202,-33.803755
2113,NSW,RANDWICK,CALTEX WOOLWORTHS,2 ALISON RD,2031,02 93145114,1,0,0,1,1,0,0,1,1,,1,,1,1,1,No,TRUE,0,1,151.231178,-33.906229
2114,NSW,NEUTRAL BAY,CALTEX WOOLWORTHS,16-38 MILITARY RD,2089,02 99535393,1,1,0,1,1,0,0,1,1,,1,Yes,1,1,1,No,TRUE,0,1,151.21593,-33.829218
2115,NSW,NORTH RYDE,CALTEX WOOLWORTHS,41-43 EPPING RD CNR WICKS RD,2113,02 98782555,1,1,0,1,1,0,0,1,1,Yes,1,Yes,0,1,1,No,TRUE,0,1,151.131126,-33.79137
2116,NSW,PARKLEA,CALTEX WOOLWORTHS,1190 OLD WINDSOR RD NEAR MIAMI ST (,2768,02 98365614,1,0,0,1,1,0,0,1,1,,1,,0,1,1,No,FALSE,0,1,150.938887,-33.724275
2117,QLD,KIPPA-RING,CALTEX WOOLWORTHS,ANZAC AVE CNR ELIZABETH AVE,4020,07 32846772,0,1,0,1,1,0,0,1,1,,1,,1,1,0,No,TRUE,0,1,153.084985,-27.226757
2118,QLD,STAFFORD,CALTEX WOOLWORTHS,191 STAFFORD RD,4053,07 38572120,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,FALSE,0,1,153.023866,-27.411327
2119,QLD,RICHLANDS,CALTEX WOOLWORTHS,209 PROGRESS RD CNR GARDEN RD,4077,07 32713178,0,1,0,1,0,0,0,1,1,,1,,0,1,1,No,TRUE,0,1,152.949546,-27.597187
2120,QLD,KENMORE,CALTEX,888 MOGGILL RD CNR MARSHALL LANE,4069,07 33780327,0,1,0,1,0,0,0,1,1,Yes,0,,1,1,1,No,FALSE,0,1,152.939,-27.5075
2121,WA,JOONDALUP,CALTEX,LAKESIDE SHOPPING CENTRE JOONDALUP,6027,08 93009797,0,1,0,1,1,0,0,1,1,Yes,1,Yes,0,1,1,No,TRUE,0,1,115.764208,-31.741127
2122,SA,MUNNO PARA,CALTEX WOOLWORTHS,LOT 23 MAIN NORTH RD,5115,08 82549000,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,TRUE,0,1,138.687898,-34.691474
2123,NSW,NORTHMEAD,CALTEX WOOLWORTHS,98-100 WINDSOR RD CNR LOMBARD RD,2152,02 96303433,1,1,0,1,0,0,0,1,1,,1,Yes,1,0,1,No,FALSE,0,1,150.994906,-33.787846
2124,SA,ADELAIDE,INDEPENDENT,172 GILBERT STREET,5000,08 82117815,0,1,0,0,0,1,0,0,0,Yes,0,,0,0,0,No,FALSE,0,1,138.593919,-34.93457
2125,VIC,SEYMOUR,INDEPENDENT,46 EMILY ST CNR SYDNEY RD,3660,03 5792 3958,0,1,1,0,1,1,0,0,1,,0,,1,1,1,No,FALSE,0,0,145.128366,-37.019299
2126,NSW,ALBION PARK RAIL,CALTEX,172-174 PRINCES HIGHWAY,2527,02 42562484,1,1,0,1,0,0,0,1,1,Yes,1,,0,1,1,No,FALSE,0,1,150.795715,-34.560823
2127,WA,KELMSCOTT,CALTEX WOOLWORTHS,2877 ALBANY HWY CNR DENNY AVE,6111,08 93905474,0,1,0,1,1,0,0,1,1,,1,,0,1,1,No,TRUE,0,1,116.015645,-32.116157
2128,ACT,HOLT,CALTEX WOOLWORTHS,1 HARDWICK CRES,2615,02 62546707,1,0,0,1,1,0,0,1,1,Yes,0,,0,1,1,No,TRUE,0,1,149.020967,-35.224282
2129,ACT,HUGHES,CALTEX,12 WISDOM ST CNR CONYER ST,2605,02 62604959,0,1,0,1,0,0,0,1,1,Yes,0,,0,0,1,No,TRUE,0,1,149.093908,-35.334386
2130,WA,MARBLE BAR,AMPOL,232 HALSE RD,6760,08 91761166,0,1,0,0,1,1,0,0,0,,0,,0,0,0,No,FALSE,0,0,119.750472,-21.174758
2131,QLD,MARIAN,CALTEX,362 ANZAC AVE,4753,07 49543247,1,1,0,1,0,1,0,0,0,,0,,0,0,0,Yes,FALSE,0,0,148.962185,-21.140661
2132,QLD,ACACIA RIDGE,WOOLWORTHS CALTEX,1150 BEAUDESERT RD,4110,07 32770639,0,1,0,0,0,0,0,1,1,,0,,0,0,1,No,FALSE,0,1,153.025526,-27.576407
2133,VIC,AIRPORT WEST,SAFEWAY CALTEX,29-35 LOUIS STREET,3042,03 83361798,0,1,0,1,1,0,0,1,1,,0,,0,0,1,No,FALSE,0,1,144.888547,-37.71432
2134,NSW,ALBION PARK,WOOLWORTHS CALTEX,LOT 1 RUSSELL ST CNR TERRY ST,2527,02 42569063,1,0,0,1,1,0,0,1,1,,0,,0,0,1,No,FALSE,0,1,150.775118,-34.572043
2135,NSW,ALBURY,SAFEWAY CALTEX,515 YOUNG ST,2640,02 60415357,0,1,0,1,1,1,0,1,1,,0,,0,1,1,No,FALSE,0,1,146.923825,-36.080884
2136,QLD,ALEXANDRA HILLS,WOOLWORTHS CALTEX,CAMBRIDGE DRV CNR FINUCANE ROAD,4161,07 38202713,1,1,0,0,0,0,0,1,1,,0,,0,0,1,No,FALSE,0,1,153.219744,-27.522938
2137,NT,ALICE SPRINGS,WOOLWORTHS CALTEX,LOT 1 CNR WILLS & RAILWAY TCE,870,08 89524849,0,0,0,0,0,1,0,0,1,,0,,0,0,1,No,FALSE,0,1,133.882259,-23.698966
2138,QLD,ALLENSTOWN,WOOLWORTHS CALTEX,171 DENHAM ST,4700,07 49228356,0,1,0,0,0,0,0,1,1,,0,,0,1,1,No,FALSE,0,1,150.501136,-23.385994
2139,VIC,ALTONA MEADOWS,SAFEWAY CALTEX,2 CENTRAL AVENUE,3028,03 93698387,0,1,0,0,1,0,0,1,1,,1,,1,1,1,No,FALSE,0,1,144.777568,-37.871433
2140,NSW,AMBERVALE,WOOLWORTHS CALTEX,LOT 302 GILCHRIST DRIVE,2560,02 46280628,1,0,0,1,1,0,0,1,1,,0,,0,0,1,No,FALSE,0,1,150.801253,-34.069052
2141,VIC,ARARAT,SAFEWAY CALTEX,LOT 7 LAMBERT ST,3377,03 53525621,0,1,0,0,1,1,0,0,1,,0,,0,0,1,No,FALSE,0,1,142.927121,-37.281488
2142,QLD,SOUTHPORT,WOOLWORTHS CALTEX,64 FERRY ROAD,4215,07 55710376,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,FALSE,0,1,153.411258,-27.976788
